County,Under 15,'15 - 24,'25 - 44,'45 - 64,65 and Over,White,Black,American Indian and Alaska Native,Asian/Native Hawaiian and Other Pacific Islander,Some Other Race,Data Unavailable,TotalERVisits,Male,Female
Crawford,477,562,1719,2257,1782,6725,17,9,0,33,13,6797,3204,3593
Dade,110,93,303,373,418,1265,2,3,14,6,7,1297,617,680
Dallas,232,256,839,1040,771,3088,5,3,3,18,21,3138,1499,1639
Daviess,172,185,340,442,509,1631,3,0,1,7,6,1648,819,829
DeKalb,155,138,461,545,492,1756,10,1,0,18,6,1791,831,960
Dent,352,452,1285,2003,2338,6372,24,5,0,22,7,6430,3096,3334
Douglas,100,94,372,425,441,1395,4,3,2,8,20,1432,701,731
Dunklin,839,1060,3439,3745,2086,9069,1763,6,125,198,8,11169,5030,6139
Franklin,1807,2502,6749,7083,4925,22380,406,13,13,194,60,23066,10827,12239
Gasconade,240,289,765,968,1172,3203,13,5,3,27,183,3434,1542,1892
Gentry,126,131,275,306,637,1465,2,0,0,8,0,1475,742,733
Greene,4285,7711,21606,18328,10891,57408,3262,146,140,1045,820,62821,30221,32600
Grundy,265,184,612,996,1911,3919,18,1,1,28,1,3968,1768,2200
Harrison,236,179,418,662,1305,2741,27,4,2,19,7,2800,1289,1511
Henry,533,444,1216,1784,1789,5630,89,4,0,15,28,5766,2753,3013
Hickory,89,122,278,512,640,1632,2,1,2,3,1,1641,816,825
