County,Asthma Count,TotalERCount,Race
Wayne,5,67,AllOtherRaces
Wayne,0,4,Black
Wayne,132,2333,White
Webster,0,122,AllOtherRaces
Webster,16,27,Black
Webster,339,5328,White
Worth,0,1,AllOtherRaces
Worth,0,0,Black
Worth,28,317,White
Wright,2,53,AllOtherRaces
Wright,0,14,Black
Wright,159,3412,White
